sepallength,sepalwidth,petallength,petalwidth,class
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,3.6_to_inf,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,3.6_to_inf,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
5.5_to_6.7,3.6_to_inf,-inf_to_2.97,-inf_to_0.9,Iris-setosa
5.5_to_6.7,3.6_to_inf,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,3.6_to_inf,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
5.5_to_6.7,3.6_to_inf,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,3.6_to_inf,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,3.6_to_inf,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,3.6_to_inf,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,3.6_to_inf,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,-inf_to_2.8,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,3.6_to_inf,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,3.6_to_inf,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,3.6_to_inf,-inf_to_2.97,-inf_to_0.9,Iris-setosa
-inf_to_5.5,2.8_to_3.6,-inf_to_2.97,-inf_to_0.9,Iris-setosa
6.7_to_inf,2.8_to_3.6,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,2.8_to_3.6,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
6.7_to_inf,2.8_to_3.6,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
-inf_to_5.5,-inf_to_2.8,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,-inf_to_2.8,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,-inf_to_2.8,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,2.8_to_3.6,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
-inf_to_5.5,-inf_to_2.8,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,2.8_to_3.6,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
-inf_to_5.5,-inf_to_2.8,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
-inf_to_5.5,-inf_to_2.8,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,2.8_to_3.6,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,-inf_to_2.8,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,2.8_to_3.6,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,2.8_to_3.6,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,2.8_to_3.6,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,2.8_to_3.6,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,-inf_to_2.8,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,-inf_to_2.8,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,-inf_to_2.8,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,2.8_to_3.6,2.97_to_4.93,1.7_to_inf,Iris-versicolor
5.5_to_6.7,-inf_to_2.8,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,-inf_to_2.8,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,-inf_to_2.8,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,2.8_to_3.6,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,2.8_to_3.6,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
6.7_to_inf,-inf_to_2.8,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,2.8_to_3.6,4.93_to_inf,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,2.8_to_3.6,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,-inf_to_2.8,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
-inf_to_5.5,-inf_to_2.8,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
-inf_to_5.5,-inf_to_2.8,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,-inf_to_2.8,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,-inf_to_2.8,4.93_to_inf,0.9_to_1.7,Iris-versicolor
-inf_to_5.5,2.8_to_3.6,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,2.8_to_3.6,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,2.8_to_3.6,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,-inf_to_2.8,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,2.8_to_3.6,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
-inf_to_5.5,-inf_to_2.8,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
-inf_to_5.5,-inf_to_2.8,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,2.8_to_3.6,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,-inf_to_2.8,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
-inf_to_5.5,-inf_to_2.8,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,-inf_to_2.8,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,2.8_to_3.6,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,2.8_to_3.6,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,2.8_to_3.6,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
-inf_to_5.5,-inf_to_2.8,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,-inf_to_2.8,2.97_to_4.93,0.9_to_1.7,Iris-versicolor
5.5_to_6.7,2.8_to_3.6,4.93_to_inf,1.7_to_inf,Iris-virginica
5.5_to_6.7,-inf_to_2.8,4.93_to_inf,1.7_to_inf,Iris-virginica
6.7_to_inf,2.8_to_3.6,4.93_to_inf,1.7_to_inf,Iris-virginica
5.5_to_6.7,2.8_to_3.6,4.93_to_inf,1.7_to_inf,Iris-virginica
5.5_to_6.7,2.8_to_3.6,4.93_to_inf,1.7_to_inf,Iris-virginica
6.7_to_inf,2.8_to_3.6,4.93_to_inf,1.7_to_inf,Iris-virginica
-inf_to_5.5,-inf_to_2.8,2.97_to_4.93,0.9_to_1.7,Iris-virginica
6.7_to_inf,2.8_to_3.6,4.93_to_inf,1.7_to_inf,Iris-virginica
5.5_to_6.7,-inf_to_2.8,4.93_to_inf,1.7_to_inf,Iris-virginica
6.7_to_inf,2.8_to_3.6,4.93_to_inf,1.7_to_inf,Iris-virginica
5.5_to_6.7,2.8_to_3.6,4.93_to_inf,1.7_to_inf,Iris-virginica
5.5_to_6.7,-inf_to_2.8,4.93_to_inf,1.7_to_inf,Iris-virginica
6.7_to_inf,2.8_to_3.6,4.93_to_inf,1.7_to_inf,Iris-virginica
5.5_to_6.7,-inf_to_2.8,4.93_to_inf,1.7_to_inf,Iris-virginica
5.5_to_6.7,-inf_to_2.8,4.93_to_inf,1.7_to_inf,Iris-virginica
5.5_to_6.7,2.8_to_3.6,4.93_to_inf,1.7_to_inf,Iris-virginica
5.5_to_6.7,2.8_to_3.6,4.93_to_inf,1.7_to_inf,Iris-virginica
6.7_to_inf,3.6_to_inf,4.93_to_inf,1.7_to_inf,Iris-virginica
6.7_to_inf,-inf_to_2.8,4.93_to_inf,1.7_to_inf,Iris-virginica
5.5_to_6.7,-inf_to_2.8,4.93_to_inf,0.9_to_1.7,Iris-virginica
6.7_to_inf,2.8_to_3.6,4.93_to_inf,1.7_to_inf,Iris-virginica
5.5_to_6.7,-inf_to_2.8,2.97_to_4.93,1.7_to_inf,Iris-virginica
6.7_to_inf,-inf_to_2.8,4.93_to_inf,1.7_to_inf,Iris-virginica
5.5_to_6.7,-inf_to_2.8,2.97_to_4.93,1.7_to_inf,Iris-virginica
5.5_to_6.7,2.8_to_3.6,4.93_to_inf,1.7_to_inf,Iris-virginica
6.7_to_inf,2.8_to_3.6,4.93_to_inf,1.7_to_inf,Iris-virginica
5.5_to_6.7,-inf_to_2.8,2.97_to_4.93,1.7_to_inf,Iris-virginica
5.5_to_6.7,2.8_to_3.6,2.97_to_4.93,1.7_to_inf,Iris-virginica
5.5_to_6.7,-inf_to_2.8,4.93_to_inf,1.7_to_inf,Iris-virginica
6.7_to_inf,2.8_to_3.6,4.93_to_inf,0.9_to_1.7,Iris-virginica
6.7_to_inf,-inf_to_2.8,4.93_to_inf,1.7_to_inf,Iris-virginica
6.7_to_inf,3.6_to_inf,4.93_to_inf,1.7_to_inf,Iris-virginica
5.5_to_6.7,-inf_to_2.8,4.93_to_inf,1.7_to_inf,Iris-virginica
5.5_to_6.7,-inf_to_2.8,4.93_to_inf,0.9_to_1.7,Iris-virginica
5.5_to_6.7,-inf_to_2.8,4.93_to_inf,0.9_to_1.7,Iris-virginica
6.7_to_inf,2.8_to_3.6,4.93_to_inf,1.7_to_inf,Iris-virginica
5.5_to_6.7,2.8_to_3.6,4.93_to_inf,1.7_to_inf,Iris-virginica
5.5_to_6.7,2.8_to_3.6,4.93_to_inf,1.7_to_inf,Iris-virginica
5.5_to_6.7,2.8_to_3.6,2.97_to_4.93,1.7_to_inf,Iris-virginica
6.7_to_inf,2.8_to_3.6,4.93_to_inf,1.7_to_inf,Iris-virginica
5.5_to_6.7,2.8_to_3.6,4.93_to_inf,1.7_to_inf,Iris-virginica
6.7_to_inf,2.8_to_3.6,4.93_to_inf,1.7_to_inf,Iris-virginica
5.5_to_6.7,-inf_to_2.8,4.93_to_inf,1.7_to_inf,Iris-virginica
6.7_to_inf,2.8_to_3.6,4.93_to_inf,1.7_to_inf,Iris-virginica
5.5_to_6.7,2.8_to_3.6,4.93_to_inf,1.7_to_inf,Iris-virginica
5.5_to_6.7,2.8_to_3.6,4.93_to_inf,1.7_to_inf,Iris-virginica
5.5_to_6.7,-inf_to_2.8,4.93_to_inf,1.7_to_inf,Iris-virginica
5.5_to_6.7,2.8_to_3.6,4.93_to_inf,1.7_to_inf,Iris-virginica
5.5_to_6.7,2.8_to_3.6,4.93_to_inf,1.7_to_inf,Iris-virginica
5.5_to_6.7,2.8_to_3.6,4.93_to_inf,1.7_to_inf,Iris-virginica
