A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16
b,1,0,u,g,aa,v,0,f,f,0,f,g,1,0,0
b,0,0,u,g,i,bb,0,f,f,0,t,g,2,1,0
b,0,0,u,g,i,bb,0,f,f,0,f,g,1,0,0
b,0,0,u,g,k,v,0,f,f,0,t,g,1,0,0
b,1,1,u,g,e,z,0,f,f,0,f,g,0,0,0
b,0,1,y,p,c,bb,1,f,f,0,f,g,1,1,0
b,1,0,u,g,c,v,0,t,t,2,t,g,1,0,0
b,0,0,u,g,w,v,1,f,t,1,t,g,0,0,0
a,0,0,u,g,j,j,0,f,f,0,t,g,1,0,0
b,0,0,y,p,ff,ff,0,f,f,0,f,g,0,0,0
b,0,1,y,p,m,v,1,f,f,0,t,g,0,1,0
b,0,0,u,g,d,v,0,f,f,0,t,s,0,0,0
b,0,0,u,g,i,v,0,f,f,0,t,g,1,0,0
a,0,0,u,g,aa,v,0,f,t,1,t,g,2,0,0
b,1,0,u,g,d,v,0,f,f,0,f,g,1,0,0
a,0,0,u,g,q,v,0,f,f,0,t,g,2,0,0
b,0,0,u,g,d,v,0,f,f,0,t,g,1,0,0
a,0,1,u,g,ff,ff,0,f,f,0,f,g,1,0,0
a,0,1,u,g,k,v,1,f,f,0,t,s,0,0,0
b,0,0,u,g,ff,ff,0,f,f,0,t,g,0,1,0
b,0,0,u,g,k,ff,0,f,f,0,f,g,0,0,0
b,0,0,y,p,k,v,0,f,f,0,f,s,1,0,0
b,0,0,u,g,e,dd,0,f,t,1,f,g,2,1,0
b,1,0,u,g,m,v,1,f,t,1,t,g,2,0,0
a,0,1,u,g,aa,v,0,f,f,0,f,g,1,1,0
b,1,0,y,p,m,v,0,f,f,0,f,s,2,0,0
a,0,1,y,p,k,h,1,f,f,0,t,g,0,0,0
b,0,0,y,p,r,n,0,f,f,0,t,g,1,0,0
b,0,0,y,p,w,v,1,f,f,0,t,g,1,0,0
b,0,1,u,g,e,dd,0,f,f,0,t,g,1,1,0
a,1,1,u,g,k,h,0,f,f,0,t,s,1,0,0
b,0,0,u,g,w,v,0,f,f,0,f,g,0,0,0
a,0,0,y,p,e,dd,0,f,f,0,f,g,1,0,0
b,0,1,u,g,d,v,0,f,f,0,f,g,0,0,0
b,0,0,y,p,c,v,1,f,f,0,t,s,1,0,0
b,0,0,u,g,i,bb,0,f,f,0,t,g,2,1,0
b,0,0,u,g,i,bb,1,f,f,0,t,s,2,0,0
b,1,1,u,g,i,bb,1,f,f,0,t,g,1,0,0
a,0,1,u,g,c,v,0,f,f,0,f,g,1,0,0
a,0,0,y,p,i,bb,1,f,f,0,f,g,1,0,0
a,1,0,y,p,ff,ff,1,f,f,0,t,g,0,0,0
b,0,1,u,g,k,v,1,f,f,0,t,g,0,1,0
b,0,1,y,p,c,v,1,f,f,0,t,g,0,0,0
b,0,0,y,p,aa,v,0,f,f,0,t,g,1,0,0
b,0,0,u,g,c,v,0,f,f,0,t,s,0,0,0
b,0,1,u,g,i,bb,0,f,f,0,t,g,1,0,0
b,0,0,u,g,m,v,0,f,f,0,f,s,0,0,0
b,0,1,u,g,e,v,0,f,f,0,f,g,2,0,0
b,1,1,u,g,i,bb,0,f,f,0,f,g,2,0,0
b,0,1,u,g,aa,bb,0,f,f,0,t,g,2,0,0
b,0,0,u,g,m,v,0,f,f,0,t,g,1,0,0
b,1,0,y,p,w,v,0,f,f,0,f,g,0,0,0
a,0,0,u,g,d,v,0,f,f,0,t,g,0,0,0
b,0,0,y,p,x,h,0,f,f,0,f,g,1,0,0
a,0,0,y,p,ff,ff,0,f,f,0,f,g,1,0,0
b,0,1,y,p,k,h,0,f,f,0,t,g,0,0,0
b,0,0,u,g,c,v,0,f,f,0,f,g,1,0,0
b,0,1,y,p,j,v,0,f,f,0,f,g,1,0,0
b,0,0,u,g,c,v,0,f,f,0,f,g,1,0,0
a,1,1,u,g,i,bb,1,f,f,0,t,g,0,0,0
a,0,0,u,g,q,v,0,f,f,0,f,s,1,0,0
b,0,1,y,p,i,bb,0,f,f,0,t,g,2,0,0
a,1,1,u,g,ff,ff,0,f,f,0,f,s,0,0,0
a,0,0,y,p,c,v,0,f,t,1,f,g,2,0,0
b,0,0,u,g,w,v,0,f,t,1,f,g,0,0,0
b,0,0,u,g,q,v,0,f,t,2,f,g,1,0,0
b,0,0,u,g,ff,ff,0,f,t,2,f,g,1,0,0
b,0,0,u,g,c,v,0,f,t,1,f,g,0,0,0
a,0,0,u,g,i,v,0,f,f,0,f,g,1,0,0
b,1,0,u,g,i,bb,0,f,f,0,f,s,1,0,0
b,0,0,u,g,k,v,0,f,f,0,t,g,1,0,0
a,0,0,y,p,ff,ff,1,f,f,0,f,g,1,0,0
b,0,0,y,p,k,v,0,f,f,0,f,g,1,0,0
b,0,0,u,g,c,v,0,f,f,0,t,g,1,0,0
b,0,0,u,g,c,v,0,f,t,1,f,g,1,0,0
a,0,0,y,p,ff,ff,0,f,f,0,t,g,1,0,0
b,0,0,u,g,i,v,0,f,f,0,t,g,1,0,0
b,0,0,u,g,q,v,1,f,f,0,f,g,1,0,0
b,0,0,u,g,w,v,1,f,f,0,f,g,1,0,0
b,0,0,u,g,cc,v,0,f,f,0,f,g,0,0,0
b,0,0,u,g,c,v,1,f,f,0,f,p,1,0,0
b,0,0,u,g,c,v,0,f,f,0,f,g,1,0,0
a,0,0,u,g,w,v,0,f,f,0,t,g,1,0,0
b,0,0,u,g,e,v,0,f,f,0,f,g,1,0,0
b,1,0,u,g,ff,ff,0,f,f,0,f,g,1,0,0
b,0,0,y,p,cc,v,0,f,f,0,f,g,1,0,0
b,1,0,y,p,ff,ff,1,f,f,0,f,g,1,0,0
b,0,0,y,p,c,v,0,f,f,0,f,g,1,1,0
b,0,0,u,g,k,v,0,f,f,0,t,g,2,0,0
b,0,0,u,g,aa,v,0,f,f,0,f,g,1,0,0
b,1,0,u,g,c,v,1,f,f,0,t,g,2,0,0
b,0,0,y,p,ff,ff,0,f,t,2,f,g,0,0,0
b,0,0,u,g,ff,ff,0,f,t,2,f,g,2,1,0
a,1,0,u,g,ff,ff,0,f,f,0,t,s,0,0,0
a,0,0,u,g,ff,ff,0,f,t,1,f,g,0,0,0
b,0,0,u,g,k,v,0,f,t,1,t,g,1,0,0
b,0,0,u,g,k,v,0,f,t,2,f,s,0,0,0
b,1,1,u,g,ff,ff,0,f,t,1,f,g,0,0,0
b,0,0,y,p,m,v,0,f,f,0,t,s,0,0,0
b,0,0,u,g,k,v,0,f,f,0,t,g,1,0,0
a,0,0,y,p,j,ff,0,f,f,0,f,g,0,0,0
b,0,0,u,g,c,v,0,f,f,0,f,g,1,0,0
a,0,0,u,g,ff,ff,0,f,f,0,f,g,2,0,0
b,0,0,u,g,ff,ff,0,f,t,1,f,g,0,0,0
b,0,1,u,g,c,v,0,f,f,0,f,g,0,0,0
b,1,0,u,g,c,v,1,f,f,0,f,g,0,0,0
b,0,0,u,g,q,v,1,f,f,0,f,g,2,0,0
b,1,0,u,g,d,v,1,f,f,0,t,g,0,0,0
b,0,1,u,g,w,v,0,f,f,0,f,g,2,1,0
b,0,0,y,p,c,v,0,f,f,0,f,g,1,0,0
b,0,1,u,g,i,bb,1,f,f,0,f,g,1,1,0
b,0,0,y,p,c,v,1,f,f,0,t,g,1,0,0
a,0,0,y,p,c,v,0,f,f,0,f,g,1,0,0
b,0,0,u,g,m,v,0,f,t,2,f,g,1,1,0
b,0,0,u,g,c,v,0,f,f,0,f,g,2,0,0
a,0,0,u,g,ff,ff,0,f,t,2,f,g,1,0,0
a,0,0,u,g,j,j,0,f,t,1,f,g,1,0,0
a,0,0,u,g,m,v,1,f,t,1,t,g,1,0,0
b,0,0,u,g,c,v,1,f,t,1,t,g,1,0,0
a,0,0,u,g,w,h,0,f,t,2,f,g,0,0,0
b,0,0,u,g,k,v,0,f,f,0,f,g,1,0,0
b,0,0,u,g,i,h,0,f,f,0,t,g,1,0,0
a,0,1,u,g,k,h,0,f,f,0,f,g,2,0,0
b,0,0,y,p,i,h,0,f,f,0,f,g,1,0,0
b,0,1,u,g,i,v,0,f,f,0,f,g,0,0,0
b,0,0,y,p,i,v,0,f,f,0,t,g,2,1,0
b,0,0,u,g,c,v,0,f,f,0,f,g,0,0,0
b,0,0,u,g,d,v,0,f,f,0,t,g,0,0,0
b,0,0,u,g,i,h,0,f,f,0,t,g,1,0,0
b,1,0,y,p,i,h,1,f,f,0,t,s,1,0,0
b,0,1,u,g,i,v,0,f,f,0,f,g,0,0,0
a,0,0,u,g,i,v,0,f,t,2,t,g,1,0,0
b,0,0,y,p,k,v,0,f,t,1,t,g,1,0,0
a,0,1,u,g,aa,v,1,f,t,2,t,g,0,0,0
b,0,0,y,p,c,v,0,f,t,1,f,g,1,0,0
b,0,0,u,g,m,v,0,f,f,0,f,s,0,0,0
b,1,1,y,p,ff,ff,0,f,t,1,f,g,0,0,0
b,0,0,y,p,k,v,0,f,f,0,f,g,1,1,0
b,0,1,y,p,aa,v,0,f,f,0,t,g,1,0,0
b,0,0,y,p,ff,ff,0,f,f,0,t,g,1,0,0
a,1,0,u,g,q,h,1,t,t,1,f,g,2,1,1
b,0,0,u,g,q,v,1,t,t,1,t,g,2,1,1
b,1,1,u,g,m,v,1,t,t,2,f,g,1,1,1
a,0,1,u,g,c,h,1,t,f,0,f,g,2,0,1
a,0,1,y,p,c,h,1,t,f,0,f,g,1,0,1
b,0,1,u,g,w,v,1,t,f,0,f,g,1,1,1
a,0,0,u,g,x,h,0,t,f,0,t,g,1,1,1
b,0,1,u,g,c,v,1,t,t,2,t,g,0,0,1
b,0,0,u,g,c,v,1,t,t,2,t,g,2,0,1
b,0,1,u,g,c,v,1,t,t,2,f,g,1,1,1
b,0,1,u,g,cc,v,1,t,t,2,t,g,0,0,1
a,1,0,u,g,ff,ff,0,t,t,1,f,g,1,0,1
b,0,1,u,g,x,v,1,t,t,1,f,g,2,0,1
a,0,0,u,g,c,v,0,t,t,1,t,g,2,0,1
b,0,1,u,g,c,v,1,t,t,2,f,g,0,1,1
a,0,1,u,g,aa,v,0,t,t,1,f,g,0,1,1
a,0,0,u,g,q,h,1,t,t,2,f,g,0,0,1
a,0,1,u,g,c,v,1,t,t,1,f,g,1,0,1
b,0,1,y,p,w,v,1,t,t,1,t,g,0,0,1
b,0,0,y,p,w,v,1,t,t,1,t,g,1,1,1
a,1,0,u,g,j,j,0,t,f,0,f,g,0,1,1
a,1,0,u,g,c,v,1,t,f,0,f,g,0,0,1
b,0,1,u,g,e,dd,0,t,f,0,f,g,0,0,1
b,0,0,y,p,c,h,1,t,f,0,f,g,0,0,1
a,1,1,u,g,aa,v,1,t,t,2,f,g,0,0,1
b,0,0,u,g,c,v,1,t,t,2,t,g,2,1,1
a,0,0,u,g,q,v,0,t,t,2,f,g,0,0,1
b,1,0,u,g,x,v,0,t,t,2,t,g,2,0,1
a,0,1,u,g,e,dd,1,t,t,2,t,g,0,0,1
b,0,0,u,g,m,v,1,t,t,1,f,g,1,1,1
a,0,1,u,g,q,v,1,t,t,2,f,g,0,1,0
a,0,0,u,g,q,v,1,t,f,0,t,g,2,0,0
b,1,0,u,g,c,v,1,t,f,0,t,g,1,0,0
b,1,0,u,g,k,v,0,t,f,0,f,g,1,0,0
a,1,0,u,g,i,bb,0,t,f,0,t,g,1,1,0
a,1,1,u,g,k,h,1,t,t,2,t,g,0,0,0
b,1,1,u,g,q,h,0,t,t,1,f,g,2,0,0
a,0,0,u,g,c,h,1,t,f,0,t,g,2,0,0
a,0,0,u,g,aa,h,1,t,f,0,f,g,2,0,0
b,1,0,u,g,i,bb,0,t,f,0,f,g,2,0,0
b,1,0,u,g,ff,ff,0,t,f,0,f,g,1,0,0
b,0,0,u,g,aa,v,1,t,f,0,t,g,2,0,0
a,0,0,y,p,ff,ff,0,t,f,0,f,g,2,0,0
a,0,0,u,g,ff,ff,0,t,f,0,f,g,0,0,0
b,0,0,u,g,x,h,1,t,f,0,t,g,2,0,0
b,0,0,u,g,w,bb,0,t,f,0,t,g,1,0,0
b,0,0,y,p,cc,v,1,t,f,0,t,g,0,0,0
b,1,0,u,g,i,bb,0,t,f,0,f,g,0,0,0
b,0,1,y,p,k,h,0,t,f,0,t,g,1,0,0
b,0,0,u,g,w,v,0,t,f,0,t,g,1,0,0
b,0,0,y,p,i,bb,0,t,t,2,t,g,1,0,0
b,1,1,y,p,d,v,1,t,f,0,f,s,0,0,0
b,0,0,y,p,w,v,1,t,t,2,t,g,1,0,0
b,0,0,u,g,d,h,1,t,t,2,f,g,1,0,1
b,0,0,u,g,x,v,0,t,t,2,t,g,2,1,1
b,1,1,u,g,m,v,1,t,f,0,f,s,1,0,1
b,1,1,u,g,e,z,1,t,t,1,t,g,0,0,1
b,1,1,u,g,i,bb,0,t,t,2,f,g,0,1,1
b,0,1,u,g,r,n,1,t,t,2,t,g,0,0,1
b,0,0,u,g,w,v,1,t,t,2,f,g,2,1,1
a,0,1,y,p,x,h,0,t,t,2,f,g,0,0,1
b,1,0,u,g,c,h,0,t,t,2,f,g,1,1,1
b,0,1,u,g,w,v,1,t,t,1,t,g,2,0,1
a,0,0,u,g,w,v,0,t,t,2,f,g,1,1,1
b,1,0,u,g,x,h,0,t,f,0,f,g,0,1,1
a,0,0,u,g,q,h,1,t,t,2,t,g,1,1,1
a,0,1,u,g,cc,h,1,t,t,2,f,g,2,0,1
b,0,0,u,g,x,h,0,t,f,0,f,g,0,1,1
b,0,0,u,g,c,h,1,t,f,0,f,g,2,0,1
b,0,1,u,g,q,h,1,t,f,0,t,g,1,0,1
b,1,1,u,g,q,h,1,t,f,0,t,g,0,0,1
a,0,0,u,g,aa,v,0,t,f,0,f,g,0,0,1
b,0,1,u,g,w,h,1,t,t,2,t,g,1,0,1
a,0,0,u,g,x,h,0,t,f,0,f,g,2,0,1
b,1,0,y,p,c,v,0,t,t,2,t,g,1,0,1
a,0,0,u,g,aa,v,0,t,t,2,f,g,0,1,1
b,1,0,u,g,w,v,1,t,t,2,t,g,0,0,1
b,0,0,y,p,d,v,0,t,t,2,t,g,1,0,1
b,0,0,y,p,x,v,0,t,t,1,t,g,2,0,1
a,1,1,u,g,ff,ff,0,t,t,2,t,g,0,1,1
a,0,1,u,g,c,h,0,t,t,2,f,g,0,1,1
b,0,0,y,p,c,h,1,t,t,1,t,g,2,1,1
b,0,0,u,g,c,v,1,t,t,2,f,g,0,1,1
b,0,1,u,g,c,v,0,t,t,2,f,g,0,0,1
b,1,0,u,g,c,v,1,t,t,2,f,g,1,1,1
b,0,1,u,g,m,v,1,t,t,2,t,g,1,1,1
b,0,0,u,g,x,v,1,t,t,2,t,g,2,1,1
b,1,0,u,g,e,v,0,f,t,1,f,s,2,0,1
b,1,0,u,g,m,v,0,t,f,0,t,g,1,0,1
b,0,1,y,p,w,h,1,t,f,0,t,g,1,0,1
a,0,1,y,p,e,z,0,t,f,0,f,g,0,1,1
b,1,1,u,g,ff,ff,0,t,f,0,t,g,0,0,1
b,1,1,u,g,x,h,1,t,t,2,t,g,0,1,1
b,1,1,u,g,c,v,1,t,t,2,f,g,0,0,1
b,0,0,y,p,c,v,0,t,t,2,t,g,1,1,1
b,0,0,u,g,c,v,0,t,t,2,t,g,0,1,1
b,0,1,u,g,cc,v,1,t,t,2,f,g,2,1,1
b,0,0,u,g,c,h,1,t,t,2,t,g,2,0,1
b,0,1,u,g,w,v,0,f,f,0,t,g,1,0,1
b,0,0,u,g,k,v,0,t,f,0,t,g,1,0,1
b,0,0,u,g,c,bb,0,t,f,0,f,g,2,0,1
a,1,0,u,g,c,v,1,t,t,2,t,g,2,1,1
a,0,1,u,g,aa,v,1,t,t,2,f,g,0,1,1
b,0,0,u,g,c,v,1,t,t,2,t,g,1,1,1
a,0,0,u,g,k,v,0,t,t,2,f,g,2,0,1
b,0,0,y,p,k,v,0,f,f,0,f,g,1,0,0
b,0,0,u,g,q,v,0,f,f,0,f,g,1,0,0
b,0,0,u,g,c,h,0,t,f,0,f,g,1,0,0
a,0,0,y,p,k,v,0,f,f,0,t,g,1,0,0
b,0,0,u,g,c,v,0,f,f,0,f,g,0,0,1
b,0,0,u,g,k,v,0,f,f,0,t,g,1,0,0
b,1,0,u,g,x,bb,0,f,f,0,t,g,2,0,0
b,0,0,y,p,k,v,0,f,f,0,f,g,1,0,0
b,0,0,y,p,q,h,1,f,t,1,t,g,2,0,0
b,0,0,u,g,w,v,0,f,t,1,f,g,2,0,0
b,0,1,u,g,c,bb,0,f,t,1,t,g,1,0,0
a,0,1,u,g,c,v,0,f,f,0,f,g,1,0,0
b,0,0,u,g,c,h,0,f,t,1,t,g,2,0,0
b,0,0,u,g,i,v,1,f,t,1,t,g,2,0,0
b,0,1,y,p,ff,ff,0,f,t,1,f,g,1,0,0
b,0,1,u,g,m,v,1,f,t,1,t,g,2,0,0
b,0,1,y,p,aa,v,0,t,f,0,f,g,1,0,0
b,0,0,u,g,i,v,0,f,f,0,f,g,1,0,0
b,0,0,u,g,c,j,1,f,f,0,t,s,0,0,1
b,0,0,u,g,q,v,0,f,f,0,f,g,1,0,0
b,0,0,y,p,cc,v,0,f,f,0,f,g,1,0,0
b,0,1,u,g,c,v,1,f,f,0,f,s,0,0,0
b,0,0,u,g,ff,ff,0,f,f,0,f,g,0,1,0
b,0,1,u,g,d,h,0,f,f,0,f,g,1,0,0
a,0,0,u,g,w,v,1,f,f,0,f,g,1,0,0
a,0,0,u,g,q,v,0,f,f,0,t,g,1,1,0
a,0,0,u,g,m,h,0,f,t,1,t,g,1,0,0
a,0,0,u,g,ff,ff,0,f,f,0,f,g,0,0,0
b,0,0,y,p,k,ff,0,f,f,0,f,g,1,0,0
a,0,0,u,g,w,v,0,f,t,1,t,g,1,0,0
b,0,0,u,g,c,n,0,f,t,1,t,g,1,1,0
b,1,0,y,p,m,v,0,f,f,0,t,g,1,0,0
b,0,1,u,g,aa,v,0,f,f,0,f,g,0,0,0
b,0,0,u,g,aa,v,0,f,f,0,t,g,0,0,0
b,0,0,u,g,k,v,1,f,f,0,t,g,1,0,0
b,0,0,u,g,i,bb,1,f,f,0,t,g,1,0,0
b,0,0,y,p,aa,v,1,f,f,0,t,g,2,0,0
a,1,1,u,g,aa,h,1,f,f,0,f,g,0,0,0
b,0,0,y,p,w,v,0,f,f,0,t,g,2,0,0
b,0,0,u,g,cc,v,0,f,f,0,t,g,0,1,0
a,0,1,u,g,c,v,0,f,f,0,f,g,0,0,0
b,0,1,u,g,aa,v,0,f,f,0,t,g,0,0,0
b,0,0,u,g,k,h,1,f,f,0,t,g,2,0,0
a,0,0,u,g,ff,ff,0,f,t,2,f,g,0,0,0
b,1,0,u,g,i,bb,0,f,f,0,f,g,0,0,0
a,0,1,u,g,q,v,0,f,t,1,t,g,0,0,0
a,0,0,u,g,i,v,0,f,f,0,t,s,1,0,0
b,0,1,u,g,i,v,0,t,f,0,t,g,0,0,0
a,0,0,u,g,q,v,0,f,t,1,t,g,1,0,0
a,0,1,y,p,ff,ff,0,f,f,0,f,g,0,0,0
b,0,0,u,g,c,h,1,f,t,1,t,g,2,0,0
a,0,0,u,g,aa,v,0,f,f,0,f,g,0,0,0
a,0,0,u,g,c,v,0,f,f,0,f,g,1,0,0
a,0,0,u,g,c,v,0,f,t,1,t,g,0,0,0
b,0,1,u,g,aa,v,0,f,f,0,f,g,0,0,0
b,0,0,u,g,c,v,0,f,f,0,f,g,1,0,0
a,0,0,u,g,w,v,0,f,f,0,t,g,1,0,0
b,0,0,y,p,cc,v,1,f,f,0,t,g,1,0,0
b,0,0,y,p,w,v,0,f,f,0,f,s,1,0,0
b,0,0,y,p,m,v,0,f,f,0,f,g,0,0,0
a,0,1,u,g,c,v,0,f,f,0,t,g,1,0,0
a,0,0,u,g,c,v,1,f,t,1,t,g,0,0,0
b,0,0,u,g,d,h,0,f,f,0,t,s,1,0,0
b,1,0,y,p,ff,ff,1,f,f,0,f,g,1,0,0
b,1,1,u,g,w,v,1,f,f,0,f,g,2,0,0
b,0,1,u,g,cc,v,0,f,f,0,f,g,0,0,0
a,1,0,u,g,aa,v,0,f,f,0,t,g,1,0,0
a,0,0,u,g,i,h,0,f,f,0,f,g,1,0,0
a,1,0,u,g,aa,v,0,f,f,0,f,g,1,0,0
a,0,1,u,g,q,h,0,f,t,2,t,g,1,0,0
b,0,1,u,g,m,v,0,f,t,1,f,g,0,0,0
a,0,1,u,g,ff,ff,0,f,f,0,f,g,0,0,0
a,0,0,u,g,c,v,0,f,f,0,f,g,0,0,0
b,0,0,u,g,k,v,0,f,f,0,f,g,1,0,0
b,0,0,y,p,d,h,1,f,f,0,f,g,1,1,0
b,0,0,u,g,i,v,0,f,f,0,t,g,1,0,0
b,0,0,y,p,d,v,0,f,f,0,f,g,1,0,0
b,1,0,u,g,m,v,1,f,f,0,t,s,2,0,0
b,0,1,y,p,e,h,0,f,f,0,f,g,1,0,0
a,0,0,u,g,c,v,1,f,t,1,t,g,1,0,0
a,0,1,y,p,ff,ff,1,f,t,1,t,g,1,0,0
b,0,0,u,g,aa,v,0,f,f,0,f,g,1,1,0
b,0,0,u,g,c,h,1,f,f,0,t,g,0,0,0
